Description	OGID	110193_0	115357_0	116153_0	1629725_0	166361_0	217634_0	224129_0	41139_0	41895_0	50390_0	7048_0	7054_0	7070_0	7539_0	77166_0
None	10376at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10380at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10382at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0
None	10384at7041	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1
None	10388at7041	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
None	1038at7041	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1
None	10391at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	10394at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
None	10395at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10397at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	10399at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	10405at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10407at7041	1	1	1	1	1	2	1	1	1	1	1	3	1	1	1
None	10408at7041	1	1	1	1	1	1	2	1	1	0	1	1	1	1	1
None	10409at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1040at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	10410at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
None	10413at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10415at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
None	10419at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10421at7041	1	1	1	0	1	1	1	1	1	1	2	2	1	1	2
None	10424at7041	1	3	1	1	1	1	1	1	1	1	1	0	1	1	1
None	10425at7041	1	1	3	1	1	1	1	1	1	1	1	1	1	2	2
None	10426at7041	1	1	0	1	1	2	1	1	1	2	1	2	1	1	1
None	10434at7041	1	1	2	1	1	0	1	1	1	1	1	1	1	1	1
None	10435at7041	1	0	1	1	1	2	1	1	1	1	2	2	1	1	1
None	10436at7041	1	1	1	1	1	1	2	2	1	1	2	1	1	1	1
None	10440at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10443at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10445at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	10447at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
None	1044at7041	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1
None	10450at7041	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1
None	10455at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10458at7041	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
None	10463at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10464at7041	1	2	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10468at7041	1	1	1	2	1	1	1	1	1	1	0	1	1	1	1
None	10469at7041	2	1	1	0	1	1	1	1	1	1	1	2	1	1	1
None	1046at7041	1	1	2	1	1	2	3	1	2	3	2	1	2	3	2
None	10471at7041	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
None	10473at7041	1	1	1	1	2	1	0	1	1	1	1	1	1	1	1
None	10474at7041	1	1	1	1	1	1	1	1	1	1	1	0	1	2	1
None	10477at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	1047at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10483at7041	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1
None	10484at7041	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
None	10485at7041	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
None	10492at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10495at7041	1	1	2	0	1	2	1	1	1	2	1	2	1	3	1
None	10496at7041	1	1	2	0	1	1	3	1	3	1	1	3	3	1	1
None	10498at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	104at7041	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1
None	10500at7041	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
None	10504at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10507at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1
None	10510at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10514at7041	1	4	10	0	3	9	3	2	7	6	2	10	9	1	2
None	10521at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10526at7041	1	1	3	0	1	1	1	1	1	1	1	2	1	1	1
None	10527at7041	1	1	1	1	2	1	2	1	1	1	1	1	1	2	1
None	10528at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10531at7041	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1
None	10533at7041	2	2	2	2	4	3	3	2	2	1	2	5	2	2	3
None	10534at7041	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10535at7041	1	1	2	1	1	1	1	1	1	1	1	2	1	1	2
None	10538at7041	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1
None	10539at7041	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1
None	10540at7041	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1
None	10543at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10545at7041	2	1	1	2	1	1	1	1	1	1	1	1	1	1	3
None	10549at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10558at7041	1	1	2	1	1	1	1	1	1	2	1	1	1	1	1
None	10559at7041	2	1	1	1	2	1	2	2	1	3	1	1	1	2	6
None	10562at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10563at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10565at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10572at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10573at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10574at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	10580at7041	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
None	10582at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	1	2
None	10583at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10588at7041	4	3	1	0	1	1	1	1	1	2	3	1	1	2	3
None	10589at7041	1	2	0	1	3	3	3	2	2	3	1	1	6	2	1
None	10590at7041	1	1	1	0	1	1	2	1	1	1	1	1	2	1	4
None	10596at7041	1	2	1	1	1	3	1	1	1	1	1	2	1	1	1
None	105at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10601at7041	1	1	1	2	2	1	1	1	1	1	1	1	1	1	1
None	10606at7041	1	1	1	1	1	0	3	1	1	1	1	1	1	1	1
None	10607at7041	2	2	4	2	3	2	2	2	3	3	2	3	3	3	2
None	1060at7041	1	1	2	0	1	3	1	1	1	2	1	4	2	1	1
None	10612at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1061at7041	1	1	1	0	1	1	1	1	1	1	2	1	1	1	1
None	10622at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10625at7041	1	1	1	1	3	1	3	2	1	2	2	2	2	1	1
None	10629at7041	1	1	2	0	2	1	1	2	1	1	1	1	1	1	1
None	10633at7041	0	2	1	1	1	1	2	1	1	2	1	1	1	1	1
None	10636at7041	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1
None	10637at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	2
None	10638at7041	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10643at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
None	10648at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10652at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
None	10653at7041	1	1	1	1	1	1	2	1	1	1	1	2	1	1	1
None	1065at7041	1	1	1	1	1	1	2	2	1	2	1	2	1	2	1
None	10662at7041	1	1	1	1	1	1	1	2	1	1	2	1	1	1	1
None	10666at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10667at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10668at7041	1	1	1	0	1	1	1	1	1	2	1	3	1	1	1
None	1066at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10672at7041	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10674at7041	1	1	2	1	1	1	2	1	1	3	1	4	1	2	1
None	10680at7041	2	4	3	1	4	7	1	3	4	5	3	2	6	5	2
None	10684at7041	1	1	2	1	1	1	0	1	1	3	1	1	1	1	1
None	10688at7041	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
None	10695at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	106at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	4
None	10700at7041	1	1	1	1	2	1	1	1	1	0	1	2	1	1	1
None	10708at7041	1	1	2	0	1	1	1	1	2	2	2	2	2	2	2
None	1070at7041	1	1	1	2	2	1	3	2	1	2	3	1	1	1	1
None	10711at7041	1	1	1	1	2	1	1	1	1	2	1	1	1	1	1
None	10712at7041	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1
None	10721at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10723at7041	1	1	1	2	1	1	2	1	1	1	1	1	1	1	1
None	10725at7041	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1
None	10726at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1072at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1
None	10731at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10735at7041	1	1	1	1	1	1	2	1	1	1	2	1	1	1	1
None	10737at7041	1	1	1	1	1	1	1	1	1	3	1	1	1	1	1
None	10740at7041	1	1	1	1	2	1	1	1	1	1	1	5	2	1	1
None	10742at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	3
None	10743at7041	1	1	2	1	1	1	1	1	1	1	1	2	1	1	1
None	10745at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
None	10746at7041	1	1	1	1	1	1	1	1	1	0	1	2	1	1	1
None	10759at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10762at7041	1	1	1	0	1	1	2	1	1	1	1	2	1	1	1
None	10766at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10771at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10773at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10778at7041	2	1	1	0	2	2	1	1	1	2	1	5	1	1	2
None	10780at7041	1	1	2	1	2	1	1	1	1	1	1	1	1	2	3
None	10783at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	1078at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10804at7041	2	1	1	3	2	1	2	1	1	1	1	2	1	3	1
None	10808at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	0
None	10811at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
None	10822at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	10824at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10825at7041	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
None	10826at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10827at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10829at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	1082at7041	1	1	2	0	2	1	1	1	1	1	1	1	1	1	2
None	10830at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10836at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10838at7041	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1
None	1083at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10841at7041	1	1	2	1	1	1	1	1	1	0	1	1	1	1	2
None	1084at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10858at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10866at7041	1	1	1	1	0	1	2	1	1	1	1	1	1	1	1
None	10870at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	2	1
None	10873at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10886at7041	1	1	1	1	2	3	2	2	3	1	1	3	2	1	3
None	10888at7041	1	1	1	0	1	1	1	1	1	3	1	1	1	1	1
None	10893at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10895at7041	1	2	1	1	2	1	1	2	1	1	0	1	1	1	1
None	10896at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10898at7041	0	1	1	3	1	2	4	1	1	5	2	1	1	3	5
None	10899at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	108at7041	1	2	2	1	1	1	1	1	1	1	1	2	1	1	1
None	10905at7041	1	1	1	0	1	1	1	1	1	2	2	1	1	1	2
None	10908at7041	1	1	1	1	1	1	1	1	1	1	2	1	1	2	1
None	10909at7041	1	1	1	0	1	1	1	1	1	1	1	2	1	1	1
None	1090at7041	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1
None	10912at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10916at7041	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1
None	10919at7041	1	1	1	1	1	1	2	1	1	1	2	2	1	1	1
None	1091at7041	1	1	1	1	2	1	2	1	2	1	1	3	2	1	1
None	10921at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10929at7041	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1
None	10930at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10932at7041	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1
None	10933at7041	1	1	1	1	1	0	1	1	1	1	1	1	1	1	2
None	10935at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1
None	10936at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10939at7041	1	1	1	1	1	1	3	1	1	1	1	1	1	1	1
None	10947at7041	1	1	1	1	1	2	1	1	1	1	2	1	1	1	1
None	10948at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10958at7041	1	1	1	0	1	1	1	1	1	2	1	1	1	1	1
None	10960at7041	1	1	2	0	1	1	1	1	1	1	1	1	1	1	1
None	10966at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10967at7041	1	1	3	1	1	1	1	1	1	1	1	1	1	1	1
None	10968at7041	1	1	1	1	1	2	1	1	1	3	1	1	1	2	2
None	10976at7041	1	1	1	0	1	1	1	2	1	1	1	1	1	1	1
None	1097at7041	2	2	3	2	2	5	14	2	3	3	4	4	3	5	3
None	10982at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	10983at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10984at7041	1	1	1	1	1	1	1	1	1	1	1	3	1	2	2
None	10985at7041	1	1	2	1	2	1	1	1	1	1	1	1	1	1	1
None	10987at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2
None	1098at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	10991at7041	1	1	1	0	1	1	1	1	1	1	2	3	1	1	2
None	10992at7041	1	1	2	1	1	1	3	1	1	1	1	1	1	2	1
None	10996at7041	1	1	1	1	2	1	2	1	1	1	1	1	1	1	1
None	10999at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	109at7041	1	1	2	1	1	1	1	1	1	1	1	2	1	2	1
None	11001at7041	1	1	8	1	1	1	1	1	1	1	2	2	1	1	1
None	11003at7041	1	0	1	1	1	1	2	1	1	1	1	1	1	1	1
None	11006at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1
None	11008at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1
None	11009at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	11011at7041	1	3	1	1	1	1	1	3	1	1	1	1	1	1	1
None	11013at7041	2	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	11014at7041	1	1	1	2	1	1	1	1	1	1	1	1	1	1	2
None	11015at7041	1	1	1	1	1	1	2	1	1	1	1	1	1	1	2
None	11017at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	11018at7041	1	1	1	1	1	1	1	1	1	2	1	1	1	2	1
None	11019at7041	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1
None	11020at7041	1	1	1	0	1	1	2	1	1	1	1	1	1	1	1
None	11021at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	11026at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	11027at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	1102at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	11030at7041	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	11031at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	11032at7041	1	1	2	0	1	3	3	1	1	1	1	1	1	2	1
None	11033at7041	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1
None	11036at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	11038at7041	1	1	1	0	3	1	2	1	1	1	1	1	1	1	1
None	11039at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0
None	11041at7041	1	2	2	1	1	1	1	1	2	2	1	1	1	1	1
None	11043at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1
None	11046at7041	1	1	1	1	1	2	1	1	1	1	1	1	1	1	0
None	11047at7041	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
None	11051at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	2
None	11053at7041	1	1	2	1	1	1	1	1	1	2	1	2	1	4	1
None	11054at7041	2	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	11055at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	11057at7041	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1
None	1105at7041	1	1	1	0	1	1	1	1	1	1	1	1	1	1	4
None	11062at7041	1	2	1	1	1	1	1	1	1	1	1	2	1	1	1
None	11064at7041	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1
None	11070at7041	1	1	1	0	1	2	1	1	1	2	1	1	1	1	1
None	11076at7041	1	1	1	0	1	1	1	1	1	1	2	4	1	1	1
None	11077at7041	1	1	1	1	1	1	0	1	1	1	2	1	1	1	1
None	11084at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
None	11085at7041	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1
